Date,Credits (for sale),Pollock, Pollock (std),Bycatch, Bycatch (std), Bycatch Rate
Feb-22-2003,0,4911.21,135874,453,7819,0.0922379
Feb-23-2003,0,5650.54,141525,898,8717,0.158923
Feb-24-2003,0,2516.13,144041,54,8771,0.0214615
Feb-25-2003,0,4141.75,148182,98,8869,0.0236615
Feb-26-2003,0,4977.32,153160,55,8924,0.0110501
Feb-27-2003,0,4312.55,157472,53,8977,0.0122897
Feb-28-2003,0,4331.88,161804,150,9127,0.034627
Mar-1-2003,0,3623.1,165427,138,9265,0.038089
Mar-2-2003,0,3129.43,168557,93,9358,0.0297178
Mar-3-2003,0,4250.03,172807,73,9431,0.0171763
Mar-4-2003,0,4134.74,176942,91,9522,0.0220086
Mar-5-2003,0,4105.15,181047,85,9607,0.0207057
Mar-6-2003,0,3667.12,184714,123,9730,0.0335413
Mar-7-2003,0,4090.39,188804,214,9944,0.0523178
Mar-8-2003,0,4074.75,192879,192,10136,0.0471194
Mar-9-2003,0,4042.86,196922,244,10380,0.0603533
Mar-10-2003,0,3319.14,200241,227,10607,0.0683913
Mar-11-2003,0,3005.78,203247,133,10740,0.0442481
Mar-12-2003,0,4341.45,207588,326,11066,0.0750901
Mar-13-2003,0,3867.42,211456,157,11223,0.0405956
Mar-14-2003,0,3111.11,214567,103,11326,0.0331071
Mar-15-2003,0,471.041,215038,56,11382,0.118886
Mar-16-2003,0,834.797,215873,21,11403,0.0251558
Mar-17-2003,0,2597.71,218470,44,11447,0.016938
Mar-18-2003,0,3283.58,221754,85,11532,0.0258864
Mar-19-2003,0,3693.3,225447,137,11669,0.0370942
Mar-20-2003,0,3234.65,228682,115,11784,0.0355526
Mar-21-2003,0,3530.37,232212,168,11952,0.047587
Mar-22-2003,0,3558.64,235771,90,12042,0.0252906
Mar-23-2003,0,2758.8,238530,198,12240,0.0717703
Mar-24-2003,0,2238.12,240768,77,12317,0.0344039
Mar-25-2003,0,1731.25,242499,82,12399,0.0473645
Mar-26-2003,0,1619.78,244119,90,12489,0.0555632
Mar-27-2003,0,1257.01,245376,294,12783,0.233888
Mar-28-2003,0,1219.48,246595,351,13134,0.287829
Mar-29-2003,0,1259.99,247855,83,13217,0.0658734
Mar-30-2003,0,931.217,248786,37,13254,0.039733
Mar-31-2003,0,2236.99,251023,64,13318,0.0286099
Apr-1-2003,0,372.077,251396,5,13323,0.0134381
Apr-2-2003,0,402.344,251798,4,13327,0.00994174
Apr-3-2003,0,0,251798,0,13327,nan
Apr-4-2003,0,0,251798,0,13327,nan
Apr-5-2003,0,0,251798,0,13327,nan
Apr-6-2003,0,0,251798,0,13327,nan
Apr-7-2003,0,0,251798,0,13327,nan
Apr-8-2003,0,0,251798,0,13327,nan
Apr-9-2003,0,0,251798,0,13327,nan
Apr-10-2003,0,0,251798,0,13327,nan
Apr-11-2003,0,0,251798,0,13327,nan
Apr-12-2003,0,0,251798,0,13327,nan
Apr-13-2003,0,0,251798,0,13327,nan
Apr-14-2003,0,0,251798,0,13327,nan
Apr-15-2003,0,0,251798,0,13327,nan
Apr-16-2003,0,0,251798,0,13327,nan
Apr-17-2003,0,0,251798,0,13327,nan
Apr-18-2003,0,0,251798,0,13327,nan
Apr-19-2003,0,0,251798,0,13327,nan
Apr-20-2003,0,0,251798,0,13327,nan
Apr-21-2003,0,0,251798,0,13327,nan
Apr-22-2003,0,0,251798,0,13327,nan
Apr-23-2003,0,0,251798,0,13327,nan
Apr-24-2003,0,0,251798,0,13327,nan
Apr-25-2003,0,0,251798,0,13327,nan
Apr-26-2003,0,0,251798,0,13327,nan
Apr-27-2003,0,0,251798,0,13327,nan
Apr-28-2003,0,0,251798,0,13327,nan
Apr-29-2003,0,0,251798,0,13327,nan
Apr-30-2003,0,0,251798,0,13327,nan
May-1-2003,0,0,251798,0,13327,nan
May-2-2003,0,0,251798,0,13327,nan
May-3-2003,0,0,251798,0,13327,nan
May-4-2003,0,0,251798,0,13327,nan
May-5-2003,0,0,251798,0,13327,nan
May-6-2003,0,0,251798,0,13327,nan
May-7-2003,0,0,251798,0,13327,nan
May-8-2003,0,0,251798,0,13327,nan
May-9-2003,0,0,251798,0,13327,nan
May-10-2003,0,0,251798,0,13327,nan
May-11-2003,0,0,251798,0,13327,nan
May-12-2003,0,0,251798,0,13327,nan
May-13-2003,0,0,251798,0,13327,nan
May-14-2003,0,0,251798,0,13327,nan
May-15-2003,0,0,251798,0,13327,nan
May-16-2003,0,0,251798,0,13327,nan
May-17-2003,0,0,251798,0,13327,nan
May-18-2003,0,0,251798,0,13327,nan
May-19-2003,0,0,251798,0,13327,nan
May-20-2003,0,0,251798,0,13327,nan
May-21-2003,0,0,251798,0,13327,nan
May-22-2003,0,0,251798,0,13327,nan
May-23-2003,0,0,251798,0,13327,nan
May-24-2003,0,0,251798,0,13327,nan
May-25-2003,0,0,251798,0,13327,nan
May-26-2003,0,0,251798,0,13327,nan
May-27-2003,0,0,251798,0,13327,nan
May-28-2003,0,0,251798,0,13327,nan
May-29-2003,0,0,251798,0,13327,nan
May-30-2003,0,0,251798,0,13327,nan
May-31-2003,0,0,251798,0,13327,nan
Jun-1-2003,0,0,251798,0,13327,nan
Jun-2-2003,0,0,251798,0,13327,nan
Jun-3-2003,0,0,251798,0,13327,nan
Jun-4-2003,0,0,251798,0,13327,nan
Jun-5-2003,0,0,251798,0,13327,nan
Jun-6-2003,0,0,251798,0,13327,nan
Jun-7-2003,0,0,251798,0,13327,nan
Jun-8-2003,0,0,251798,0,13327,nan
Jun-9-2003,0,0,251798,0,13327,nan
Jun-10-2003,0,0,251798,0,13327,nan

Jun-11-2003,0,137.805,137.805,0,0,0
Jun-12-2003,0,649.616,787.421,2,2,0.00307874
Jun-13-2003,0,844.447,1631.87,1,3,0.00118421
Jun-14-2003,0,522.861,2154.73,0,3,0
Jun-15-2003,0,859.037,3013.77,1,4,0.00116409
Jun-16-2003,0,1278.17,4291.93,2,6,0.00156474
Jun-17-2003,0,1254.04,5545.98,4,10,0.00318968
Jun-18-2003,0,1505.61,7051.58,1,11,0.000664184
Jun-19-2003,0,1542.32,8593.9,1,12,0.000648376
Jun-20-2003,0,621.755,9215.65,0,12,0
Jun-21-2003,0,2334.32,11550,6,18,0.00257034
Jun-22-2003,0,1905.86,13455.8,3,21,0.00157409
Jun-23-2003,0,1015.28,14471.1,1,22,0.000984948
Jun-24-2003,0,1650.05,16121.2,3,25,0.00181812
Jun-25-2003,0,1706.37,17827.5,4,29,0.00234415
Jun-26-2003,0,2130.01,19957.6,4,33,0.00187792
Jun-27-2003,0,1439.98,21397.5,2,35,0.00138891
Jun-28-2003,0,2221.64,23619.2,3,38,0.00135035
Jun-29-2003,0,2066.62,25685.8,1,39,0.000483881
Jun-30-2003,0,2299.08,27984.9,6,45,0.00260974
Jul-1-2003,0,2253.32,30238.2,2,47,0.000887578
Jul-2-2003,0,2568.5,32806.7,5,52,0.00194666
Jul-3-2003,0,2895.61,35702.3,0,52,0
Jul-4-2003,0,2612.24,38314.6,6,58,0.00229688
Jul-5-2003,0,2728.78,41043.3,4,62,0.00146586
Jul-6-2003,0,2624.65,43668,3,65,0.00114301
Jul-7-2003,0,3884.15,47552.1,4,69,0.00102983
Jul-8-2003,0,3218.78,50770.9,2,71,0.000621354
Jul-9-2003,0,3272.87,54043.8,0,71,0
Jul-10-2003,0,3073.86,57117.6,0,71,0
Jul-11-2003,0,2174.74,59292.4,0,71,0
Jul-12-2003,0,2896.3,62188.7,0,71,0
Jul-13-2003,0,2684.21,64872.9,1,72,0.000372549
Jul-14-2003,0,3188.1,68061,6,78,0.001882
Jul-15-2003,0,3819.73,71880.7,3,81,0.000785396
Jul-16-2003,0,3350.44,75231.2,3,84,0.000895405
Jul-17-2003,0,2803.46,78034.6,0,84,0
Jul-18-2003,0,3107.54,81142.2,2,86,0.000643596
Jul-19-2003,0,3736.75,84878.9,2,88,0.000535224
Jul-20-2003,0,2550.25,87429.2,1,89,0.000392119
Jul-21-2003,0,3709.06,91138.2,3,92,0.00080883
Jul-22-2003,0,2768.71,93906.9,4,96,0.00144472
Jul-23-2003,0,4121.98,98028.9,0,96,0
Jul-24-2003,0,3574.22,101603,2,98,0.000559562
Jul-25-2003,0,2793.7,104397,0,98,0
Jul-26-2003,0,4469.94,108867,1,99,0.000223717
Jul-27-2003,0,3106.74,111974,1,100,0.00032188
Jul-28-2003,0,4445.99,116420,2,102,0.000449844
Jul-29-2003,0,3150.1,119570,2,104,0.0006349
Jul-30-2003,0,3601.99,123172,0,104,0
Jul-31-2003,0,3559.77,126731,0,104,0
Aug-1-2003,0,3288.29,130020,0,104,0
Aug-2-2003,0,3431.49,133451,3,107,0.000874256
Aug-3-2003,0,3232.17,136683,0,107,0
Aug-4-2003,0,3737.36,140421,6,113,0.00160541
Aug-5-2003,0,3270.37,143691,4,117,0.0012231
Aug-6-2003,0,3362.89,147054,2,119,0.000594726
Aug-7-2003,0,3164.34,150218,4,123,0.00126408
Aug-8-2003,0,4098.27,154317,6,129,0.00146403
Aug-9-2003,0,3844.58,158161,3,132,0.00078032
Aug-10-2003,0,2795.85,160957,0,132,0
Aug-11-2003,0,5049.83,166007,4,136,0.000792105
Aug-12-2003,0,3160.89,169168,3,139,0.0009491
Aug-13-2003,0,3911.66,173079,1,140,0.000255646
Aug-14-2003,0,3990.32,177070,1,141,0.000250607
Aug-15-2003,0,3131.68,180201,2,143,0.000638635
Aug-16-2003,0,5057.39,185259,5,148,0.000988652
Aug-17-2003,0,3321.42,188580,8,156,0.00240861
Aug-18-2003,0,4110.76,192691,14,170,0.0034057
Aug-19-2003,0,3994.76,196686,20,190,0.00500655
Aug-20-2003,0,4433.03,201119,2,192,0.000451159
Aug-21-2003,0,2847.34,203966,2,194,0.00070241
Aug-22-2003,0,4040.42,208006,10,204,0.00247499
Aug-23-2003,0,5028.12,213035,11,215,0.0021877
Aug-24-2003,0,4684.47,217719,3,218,0.000640414
Aug-25-2003,0,3386.96,221106,1,219,0.00029525
Aug-26-2003,0,3720.69,224827,2,221,0.000537534
Aug-27-2003,0,4771.4,229598,7,228,0.00146708
Aug-28-2003,0,3983.48,233582,5,233,0.00125518
Aug-29-2003,0,3735.4,237317,5,238,0.00133854
Aug-30-2003,0,4499.84,241817,4,242,0.000888921
Aug-31-2003,0,3380.67,245198,2,244,0.000591598
Sep-1-2003,0,3917.8,249115,4,248,0.00102098
Sep-2-2003,0,5133.51,254249,8,256,0.00155839
Sep-3-2003,0,3183.2,257432,7,263,0.00219904
Sep-4-2003,0,3687.13,261119,11,274,0.00298335
Sep-5-2003,0,4032.15,265151,21,295,0.00520815
Sep-6-2003,0,3550.84,268702,13,308,0.0036611
Sep-7-2003,0,3043.77,271746,24,332,0.00788495
Sep-8-2003,0,4561.43,276307,25,357,0.00548074
Sep-9-2003,0,2190.95,278498,13,370,0.0059335
Sep-10-2003,0,4525.07,283023,16,386,0.00353585
Sep-11-2003,0,2644.24,285668,12,398,0.00453817
Sep-12-2003,0,4531.32,290199,54,452,0.0119171
Sep-13-2003,0,4143.44,294342,72,524,0.0173769
Sep-14-2003,0,2911.31,297254,30,554,0.0103046
Sep-15-2003,0,3102.13,300356,102,656,0.0328806
Sep-16-2003,0,3160.19,303516,93,749,0.0294286
Sep-17-2003,0,2041.12,305557,32,781,0.0156777
Sep-18-2003,0,2897.27,308454,28,809,0.00966427
Sep-19-2003,0,4808.5,313263,75,884,0.0155974
Sep-20-2003,0,3537.59,316800,50,934,0.0141339
Sep-21-2003,0,3648.54,320449,65,999,0.0178153
Sep-22-2003,0,4166.36,324615,81,1080,0.0194414
Sep-23-2003,0,3591.15,328207,12,1092,0.00334155
Sep-24-2003,0,2470.84,330677,44,1136,0.0178077
Sep-25-2003,0,4007.24,334685,92,1228,0.0229585
Sep-26-2003,0,2420.84,337105,86,1314,0.0355248
Sep-27-2003,0,3327.17,340433,115,1429,0.0345639
Sep-28-2003,0,1310.51,341743,108,1537,0.0824105
Sep-29-2003,0,2051.14,343794,97,1634,0.0472907
Sep-30-2003,0,1832.8,345627,46,1680,0.0250982
Oct-1-2003,0,2111.26,347738,59,1739,0.0279454
Oct-2-2003,0,1517.52,349256,109,1848,0.0718277
Oct-3-2003,0,744.685,350001,72,1920,0.0966852
Oct-4-2003,0,1583.3,351584,123,2043,0.077686
Oct-5-2003,0,2809.9,354394,321,2364,0.114239
Oct-6-2003,0,2231.25,356625,258,2622,0.11563
Oct-7-2003,0,883.338,357508,188,2810,0.212829
Oct-8-2003,0,1128.55,358637,539,3349,0.477603
Oct-9-2003,0,123.034,358760,20,3369,0.162557
Oct-10-2003,0,1857.66,360618,445,3814,0.239549
Oct-11-2003,0,2455.81,363073,987,4801,0.401905
Oct-12-2003,0,2636.04,365709,688,5489,0.260997
Oct-13-2003,0,2220.11,367930,380,5869,0.171163
Oct-14-2003,0,1584.15,369514,372,6241,0.234826
Oct-15-2003,0,1341.45,370855,227,6468,0.16922
Oct-16-2003,0,2832.46,373688,401,6869,0.141573
Oct-17-2003,0,2570.32,376258,95,6964,0.0369604
Oct-18-2003,0,1106.14,377364,67,7031,0.0605708
Oct-19-2003,0,1309.91,378674,68,7099,0.0519119
Oct-20-2003,0,983.382,379657,22,7121,0.0223718
Oct-21-2003,0,729.488,380387,23,7144,0.031529
