Date,Credits (for sale),Pollock, Pollock (std),Bycatch, Bycatch (std), Bycatch Rate
Mar-13-2007,0,2406.99,197995,171,34180,0.0710431
Mar-14-2007,0,4406.81,202402,180,34360,0.0408459
Mar-15-2007,0,3576.85,205979,114,34474,0.0318717
Mar-16-2007,0,3477.77,209456,183,34657,0.05262
Mar-17-2007,0,4476.83,213933,262,34919,0.0585236
Mar-18-2007,0,3763.23,217696,100,35019,0.0265729
Mar-19-2007,0,3438.92,221135,104,35123,0.0302421
Mar-20-2007,0,2580.95,223716,127,35250,0.0492067
Mar-21-2007,0,2350.14,226066,61,35311,0.0259559
Mar-22-2007,0,3167.98,229234,96,35407,0.0303032
Mar-23-2007,0,2965.43,232200,249,35656,0.0839676
Mar-24-2007,0,2220.94,234421,109,35765,0.0490783
Mar-25-2007,0,2043.61,236464,140,35905,0.0685064
Mar-26-2007,0,1740.43,238205,259,36164,0.148814
Mar-27-2007,0,991.636,239196,169,36333,0.170425
Mar-28-2007,0,538.886,239735,6,36339,0.0111341
Mar-29-2007,0,0,239735,0,36339,nan
Mar-30-2007,0,0,239735,0,36339,nan
Mar-31-2007,0,0,239735,0,36339,nan
Apr-1-2007,0,0,239735,0,36339,nan
Apr-2-2007,0,0,239735,0,36339,nan
Apr-3-2007,0,0,239735,0,36339,nan
Apr-4-2007,0,0,239735,0,36339,nan
Apr-5-2007,0,0,239735,0,36339,nan
Apr-6-2007,0,0,239735,0,36339,nan
Apr-7-2007,0,0,239735,0,36339,nan
Apr-8-2007,0,0,239735,0,36339,nan
Apr-9-2007,0,0,239735,0,36339,nan
Apr-10-2007,0,0,239735,0,36339,nan
Apr-11-2007,0,0,239735,0,36339,nan
Apr-12-2007,0,0,239735,0,36339,nan
Apr-13-2007,0,0,239735,0,36339,nan
Apr-14-2007,0,0,239735,0,36339,nan
Apr-15-2007,0,0,239735,0,36339,nan
Apr-16-2007,0,0,239735,0,36339,nan
Apr-17-2007,0,0,239735,0,36339,nan
Apr-18-2007,0,0,239735,0,36339,nan
Apr-19-2007,0,0,239735,0,36339,nan
Apr-20-2007,0,0,239735,0,36339,nan
Apr-21-2007,0,0,239735,0,36339,nan
Apr-22-2007,0,0,239735,0,36339,nan
Apr-23-2007,0,0,239735,0,36339,nan
Apr-24-2007,0,0,239735,0,36339,nan
Apr-25-2007,0,0,239735,0,36339,nan
Apr-26-2007,0,0,239735,0,36339,nan
Apr-27-2007,0,0,239735,0,36339,nan
Apr-28-2007,0,0,239735,0,36339,nan
Apr-29-2007,0,0,239735,0,36339,nan
Apr-30-2007,0,0,239735,0,36339,nan
May-1-2007,0,0,239735,0,36339,nan
May-2-2007,0,0,239735,0,36339,nan
May-3-2007,0,0,239735,0,36339,nan
May-4-2007,0,0,239735,0,36339,nan
May-5-2007,0,0,239735,0,36339,nan
May-6-2007,0,0,239735,0,36339,nan
May-7-2007,0,0,239735,0,36339,nan
May-8-2007,0,0,239735,0,36339,nan
May-9-2007,0,0,239735,0,36339,nan
May-10-2007,0,0,239735,0,36339,nan
May-11-2007,0,0,239735,0,36339,nan
May-12-2007,0,0,239735,0,36339,nan
May-13-2007,0,0,239735,0,36339,nan
May-14-2007,0,0,239735,0,36339,nan
May-15-2007,0,0,239735,0,36339,nan
May-16-2007,0,0,239735,0,36339,nan
May-17-2007,0,0,239735,0,36339,nan
May-18-2007,0,0,239735,0,36339,nan
May-19-2007,0,0,239735,0,36339,nan
May-20-2007,0,0,239735,0,36339,nan
May-21-2007,0,0,239735,0,36339,nan
May-22-2007,0,0,239735,0,36339,nan
May-23-2007,0,0,239735,0,36339,nan
May-24-2007,0,0,239735,0,36339,nan
May-25-2007,0,0,239735,0,36339,nan
May-26-2007,0,0,239735,0,36339,nan
May-27-2007,0,0,239735,0,36339,nan
May-28-2007,0,0,239735,0,36339,nan
May-29-2007,0,0,239735,0,36339,nan
May-30-2007,0,0,239735,0,36339,nan
May-31-2007,0,0,239735,0,36339,nan
Jun-1-2007,0,0,239735,0,36339,nan
Jun-2-2007,0,0,239735,0,36339,nan
Jun-3-2007,0,0,239735,0,36339,nan
Jun-4-2007,0,0,239735,0,36339,nan
Jun-5-2007,0,0,239735,0,36339,nan
Jun-6-2007,0,0,239735,0,36339,nan
Jun-7-2007,0,0,239735,0,36339,nan
Jun-8-2007,0,0,239735,0,36339,nan
Jun-9-2007,0,0,239735,0,36339,nan
Jun-10-2007,0,0,239735,0,36339,nan

Jun-11-2007,0,656.449,656.449,12,12,0.0182802
Jun-12-2007,0,1545.91,2202.36,28,40,0.0181123
Jun-13-2007,0,3003.4,5205.75,55,95,0.0183126
Jun-14-2007,0,1947.15,7152.91,30,125,0.0154071
Jun-15-2007,0,2814.84,9967.74,37,162,0.0131446
Jun-16-2007,0,2414.94,12382.7,37,199,0.0153213
Jun-17-2007,0,3050.15,15432.8,55,254,0.0180319
Jun-18-2007,0,1722.43,17155.3,12,266,0.00696691
Jun-19-2007,0,2677.62,19832.9,21,287,0.00784278
Jun-20-2007,0,3143.86,22976.7,22,309,0.00699777
Jun-21-2007,0,2268.39,25245.1,8,317,0.00352672
Jun-22-2007,0,1780.78,27025.9,23,340,0.0129157
Jun-23-2007,0,3480.6,30506.5,39,379,0.011205
Jun-24-2007,0,3596.24,34102.8,19,398,0.0052833
Jun-25-2007,0,3091.93,37194.7,10,408,0.00323422
Jun-26-2007,0,2486.82,39681.5,19,427,0.00764029
Jun-27-2007,0,2598.46,42280,18,445,0.00692719
Jun-28-2007,0,3063.34,45343.3,15,460,0.00489661
Jun-29-2007,0,1292.62,46635.9,4,464,0.00309449
Jun-30-2007,0,1113.23,47749.2,5,469,0.00449142
Jul-1-2007,0,2866.25,50615.4,13,482,0.00453555
Jul-2-2007,0,2589.03,53204.4,15,497,0.00579367
Jul-3-2007,0,2877.57,56082,11,508,0.00382267
Jul-4-2007,0,2852.99,58935,12,520,0.00420612
Jul-5-2007,0,1615.46,60550.5,37,557,0.0229036
Jul-6-2007,0,2852.93,63403.4,13,570,0.00455672
Jul-7-2007,0,3093.47,66496.9,15,585,0.00484893
Jul-8-2007,0,2997.36,69494.2,10,595,0.00333627
Jul-9-2007,0,1729.16,71223.4,5,600,0.00289157
Jul-10-2007,0,1763.65,72987,2,602,0.00113401
Jul-11-2007,0,2132.71,75119.7,7,609,0.00328221
Jul-12-2007,0,3580.68,78700.4,7,616,0.00195494
Jul-13-2007,0,3515.01,82215.4,7,623,0.00199146
Jul-14-2007,0,1632.6,83848,3,626,0.00183756
Jul-15-2007,0,941.42,84789.5,1,627,0.00106223
Jul-16-2007,0,836.508,85626,1,628,0.00119545
Jul-17-2007,0,4356.05,89982,1,629,0.000229566
Jul-18-2007,0,3709.05,93691.1,4,633,0.00107844
Jul-19-2007,0,2887.94,96579,1,634,0.000346267
Jul-20-2007,0,1954.95,98534,2,636,0.00102304
Jul-21-2007,0,1282.31,99816.3,0,636,0
Jul-22-2007,0,1994.46,101811,4,640,0.00200555
Jul-23-2007,0,4285.1,106096,8,648,0.00186693
Jul-24-2007,0,2856.8,108953,15,663,0.00525063
Jul-25-2007,0,1718.53,110671,2,665,0.00116378
Jul-26-2007,0,1947.66,112619,8,673,0.0041075
Jul-27-2007,0,2910.47,115529,6,679,0.00206152
Jul-28-2007,0,4934.14,120463,13,692,0.00263471
Jul-29-2007,0,2776.15,123240,3,695,0.00108063
Jul-30-2007,0,2840.91,126080,3,698,0.001056
Jul-31-2007,0,1621.05,127702,2,700,0.00123376
Aug-1-2007,0,2356.75,130058,1,701,0.000424313
Aug-2-2007,0,1769.76,131828,6,707,0.00339029
Aug-3-2007,0,1885,133713,21,728,0.0111406
Aug-4-2007,0,4229.5,137943,18,746,0.00425582
Aug-5-2007,0,2778.61,140721,4,750,0.00143957
Aug-6-2007,0,2073.29,142794,5,755,0.00241163
Aug-7-2007,0,2389.85,145184,18,773,0.00753186
Aug-8-2007,0,954.865,146139,7,780,0.00733088
Aug-9-2007,0,1748.88,147888,6,786,0.00343076
Aug-10-2007,0,2894.33,150782,7,793,0.00241852
Aug-11-2007,0,1890.16,152673,0,793,0
Aug-12-2007,0,1565.67,154238,6,799,0.00383224
Aug-13-2007,0,2567.02,156805,4,803,0.00155823
Aug-14-2007,0,3123.15,159928,12,815,0.00384227
Aug-15-2007,0,3041.88,162970,7,822,0.00230121
Aug-16-2007,0,3630.45,166601,11,833,0.00302993
Aug-17-2007,0,3173.16,169774,35,868,0.01103
Aug-18-2007,0,2174.27,171948,22,890,0.0101183
Aug-19-2007,0,4123.7,176072,23,913,0.00557752
Aug-20-2007,0,2716.78,178789,33,946,0.0121467
Aug-21-2007,0,2323.82,181112,23,969,0.00989748
Aug-22-2007,0,2211.43,183324,6,975,0.00271318
Aug-23-2007,0,2779.76,186104,114,1089,0.0410107
Aug-24-2007,0,1881.11,187985,13,1102,0.0069108
Aug-25-2007,0,1953.71,189938,58,1160,0.0296871
Aug-26-2007,0,2238.12,192177,10,1170,0.00446804
Aug-27-2007,0,1562.51,193739,9,1179,0.00575997
Aug-28-2007,0,1985.52,195725,11,1190,0.00554012
Aug-29-2007,0,3794,199519,27,1217,0.00711651
Aug-30-2007,0,2506.33,202025,45,1262,0.0179545
Aug-31-2007,0,2728.14,204753,116,1378,0.0425198
Sep-1-2007,0,1219.18,205972,44,1422,0.0360898
Sep-2-2007,0,1483.01,207455,43,1465,0.028995
Sep-3-2007,0,2792.98,210248,73,1538,0.026137
Sep-4-2007,0,2665.54,212914,65,1603,0.0243853
Sep-5-2007,0,1648.41,214562,43,1646,0.0260857
Sep-6-2007,0,2385.16,216947,111,1757,0.0465378
Sep-7-2007,0,2414.33,219362,54,1811,0.0223664
Sep-8-2007,0,2667.79,222029,43,1854,0.0161182
Sep-9-2007,0,1630.09,223660,39,1893,0.023925
Sep-10-2007,0,2594.01,226254,142,2035,0.0547415
Sep-11-2007,0,1091.81,227345,47,2082,0.0430477
Sep-12-2007,0,1695.71,229041,96,2178,0.0566133
Sep-13-2007,0,2098.52,231140,326,2504,0.155348
Sep-14-2007,0,1819.15,232959,714,3218,0.392491
Sep-15-2007,0,2317.23,235276,907,4125,0.391415
Sep-16-2007,0,2659.72,237936,489,4614,0.183854
Sep-17-2007,0,2711.1,240647,548,5162,0.202132
Sep-18-2007,0,3557.11,244204,554,5716,0.155744
Sep-19-2007,0,237.518,244441,7,5723,0.0294715
Sep-20-2007,0,139.721,244581,11,5734,0.078728
Sep-21-2007,0,0,244581,0,5734,nan
Sep-22-2007,0,952.129,245533,327,6061,0.343441
Sep-23-2007,0,2217.88,247751,514,6575,0.231753
Sep-24-2007,0,3298.87,251050,462,7037,0.140048
Sep-25-2007,0,2655.67,253706,457,7494,0.172085
Sep-26-2007,0,1373.88,255080,238,7732,0.173231
Sep-27-2007,0,239.083,255319,49,7781,0.20495
Sep-28-2007,0,777.309,256096,413,8194,0.53132
Sep-29-2007,0,464.374,256560,21,8215,0.0452221
Sep-30-2007,0,731.182,257292,44,8259,0.0601765
Oct-1-2007,0,834.142,258126,85,8344,0.101901
Oct-2-2007,0,207.978,258334,15,8359,0.0721229
Oct-3-2007,0,329.541,258663,20,8379,0.0606906
Oct-4-2007,0,1946.1,260609,615,8994,0.316016
Oct-5-2007,0,2225.95,262835,482,9476,0.216537
Oct-6-2007,0,127.653,262963,0,9476,0
Oct-7-2007,0,0,262963,0,9476,nan
Oct-8-2007,0,807.75,263771,439,9915,0.543485
Oct-9-2007,0,2375.84,266146,715,10630,0.300947
Oct-10-2007,0,2286.95,268433,1484,12114,0.6489
Oct-11-2007,0,1545.59,269979,894,13008,0.57842
Oct-12-2007,0,1760.6,271740,1556,14564,0.883791
Oct-13-2007,0,1665.41,273405,1080,15644,0.648489
Oct-14-2007,0,1511.92,274917,833,16477,0.550955
Oct-15-2007,0,1214.78,276132,416,16893,0.342448
Oct-16-2007,0,1726.59,277858,206,17099,0.11931
Oct-17-2007,0,2119.78,279978,433,17532,0.204267
Oct-18-2007,0,1168.19,281146,297,17829,0.254239
Oct-19-2007,0,1818.92,282965,951,18780,0.522837
Oct-20-2007,0,2551.93,285517,673,19453,0.263722
Oct-21-2007,0,1970.07,287487,229,19682,0.116239
Oct-22-2007,0,2362.3,289850,569,20251,0.240866
Oct-23-2007,0,2359.76,292209,968,21219,0.410212
Oct-24-2007,0,1181.46,293391,525,21744,0.444365
Oct-25-2007,0,2029.93,295421,547,22291,0.269467
Oct-26-2007,0,2068.98,297490,598,22889,0.289031
Oct-27-2007,0,374.112,297864,327,23216,0.87407
Oct-28-2007,0,1825.84,299690,854,24070,0.467729
Oct-29-2007,0,1698.97,301389,1097,25167,0.645685
Oct-30-2007,0,2766.61,304155,1938,27105,0.700495
Oct-31-2007,0,2630.74,306786,1534,28639,0.583105
Nov-1-2007,0,2497.7,309284,1385,30024,0.554511
Nov-2-2007,0,2161.1,311445,3789,33813,1.75327
